date,ticker,price
2015-01-26,META,76.96
2015-01-26,MSFT,40.07
2015-01-26,NVDA,0.49
2015-01-26,PG,66.35
2015-01-26,XOM,57.25
2015-01-27,AAPL,24.2
2015-01-27,AMZN,15.34
2015-01-27,GOOGL,25.86
2015-01-27,JNJ,75.17
2015-01-27,JPM,41.83
2015-01-27,META,75.25
2015-01-27,MSFT,36.36
2015-01-27,NVDA,0.47
2015-01-27,PG,64.07
2015-01-27,XOM,56.74
2015-01-28,AAPL,25.56
2015-01-28,AMZN,15.2
2015-01-28,GOOGL,25.43
2015-01-28,JNJ,74.72
2015-01-28,JPM,40.75
2015-01-28,META,75.71
2015-01-28,MSFT,35.11
2015-01-28,NVDA,0.46
2015-01-28,PG,63.07
2015-01-28,XOM,54.87
2015-01-29,AAPL,26.36
2015-01-29,AMZN,15.59
2015-01-29,GOOGL,25.47
2015-01-29,JNJ,75.38
2015-01-29,JPM,41.44
2015-01-29,META,77.46
2015-01-29,MSFT,35.81
2015-01-29,NVDA,0.47
2015-01-29,PG,63.46
2015-01-29,XOM,54.64
2015-01-30,AAPL,25.97
2015-01-30,AMZN,17.73
2015-01-30,GOOGL,26.68
2015-01-30,JNJ,73.73
2015-01-30,JPM,40.47
2015-01-30,META,75.38
2015-01-30,MSFT,34.44
2015-01-30,NVDA,0.46
2015-01-30,PG,62.44
2015-01-30,XOM,54.54
2015-02-02,AAPL,26.3
2015-02-02,AMZN,18.22
2015-02-02,GOOGL,26.41
2015-02-02,JNJ,74.24
2015-02-02,JPM,41.29
2015-02-02,META,74.47
2015-02-02,MSFT,35.19
2015-02-02,NVDA,0.47
2015-02-02,PG,63.05
2015-02-02,XOM,55.89
2015-02-03,AAPL,26.3
2015-02-03,AMZN,18.18
2015-02-03,GOOGL,26.47
2015-02-03,JNJ,75.44
2015-02-03,JPM,42.22
2015-02-03,META,74.88
2015-02-03,MSFT,35.46
2015-02-03,NVDA,0.48
2015-02-03,PG,63.67
2015-02-03,XOM,57.56
2015-02-04,AAPL,26.51
2015-02-04,AMZN,18.24
2015-02-04,GOOGL,26.11
2015-02-04,JNJ,74.63
2015-02-04,JPM,41.96
2015-02-04,META,75.11
2015-02-04,MSFT,35.66
2015-02-04,NVDA,0.48
2015-02-04,PG,63.55
2015-02-04,XOM,57.06
2015-02-05,AAPL,26.69
2015-02-05,AMZN,18.69
2015-02-05,GOOGL,26.29
2015-02-05,JNJ,75.44
2015-02-05,JPM,42.25
2015-02-05,META,75.09
2015-02-05,MSFT,36.18
2015-02-05,NVDA,0.49
2015-02-05,PG,64.22
2015-02-05,XOM,57.62
2015-02-06,AAPL,26.47
2015-02-06,AMZN,18.71
2015-02-06,GOOGL,26.49
2015-02-06,JNJ,74.44
2015-02-06,JPM,43.09
2015-02-06,META,73.95
2015-02-06,MSFT,36.15
2015-02-06,NVDA,0.49
2015-02-06,PG,63.41
2015-02-06,XOM,57.52
2015-02-09,AAPL,26.65
2015-02-09,AMZN,18.53
2015-02-09,GOOGL,26.27
2015-02-09,JNJ,73.47
2015-02-09,JPM,43.04
2015-02-09,META,73.92
2015-02-09,MSFT,36.11
2015-02-09,NVDA,0.49
2015-02-09,PG,63.0
2015-02-09,XOM,57.55
2015-02-10,AAPL,27.16
2015-02-10,AMZN,18.65
2015-02-10,GOOGL,26.81
2015-02-10,JNJ,73.89
2015-02-10,JPM,43.51
2015-02-10,META,74.67
2015-02-10,MSFT,36.31
2015-02-10,NVDA,0.5
2015-02-10,PG,63.25
2015-02-10,XOM,57.21
2015-02-11,AAPL,27.79
2015-02-11,AMZN,18.76
2015-02-11,GOOGL,26.7
2015-02-11,JNJ,73.91
2015-02-11,JPM,43.44
2015-02-11,META,75.98
2015-02-11,MSFT,36.12
2015-02-11,NVDA,0.5
2015-02-11,PG,63.44
2015-02-11,XOM,56.95
2015-02-12,AAPL,28.15
2015-02-12,AMZN,18.86
2015-02-12,GOOGL,27.1
2015-02-12,JNJ,72.48
2015-02-12,JPM,44.34
2015-02-12,META,75.7
2015-02-12,MSFT,36.73
2015-02-12,NVDA,0.54
2015-02-12,PG,63.72
2015-02-12,XOM,58.06
2015-02-13,AAPL,28.28
2015-02-13,AMZN,19.09
2015-02-13,GOOGL,27.35
2015-02-13,JNJ,73.35
2015-02-13,JPM,44.41
2015-02-13,META,75.21
2015-02-13,MSFT,37.4
2015-02-13,NVDA,0.54
2015-02-13,PG,63.63
2015-02-13,XOM,58.69
2015-02-17,AAPL,28.45
2015-02-17,AMZN,18.77
2015-02-17,GOOGL,27.05
2015-02-17,JNJ,73.95
2015-02-17,JPM,44.73
2015-02-17,META,75.08
2015-02-17,MSFT,37.41
2015-02-17,NVDA,0.54
2015-02-17,PG,63.32
2015-02-17,XOM,58.49
2015-02-18,AAPL,28.65
2015-02-18,AMZN,18.67
2015-02-18,GOOGL,26.93
2015-02-18,JNJ,73.6
2015-02-18,JPM,44.19
2015-02-18,META,76.18
2015-02-18,MSFT,37.37
2015-02-18,NVDA,0.53
2015-02-18,PG,63.9
2015-02-18,XOM,57.21
2015-02-19,AAPL,28.59
2015-02-19,AMZN,18.95
2015-02-19,GOOGL,27.12
2015-02-19,JNJ,74.14
2015-02-19,JPM,44.08
2015-02-19,META,78.87
2015-02-19,MSFT,37.34
2015-02-19,NVDA,0.53
2015-02-19,PG,63.12
2015-02-19,XOM,56.22
2015-02-20,AAPL,28.82
2015-02-20,AMZN,19.18
2015-02-20,GOOGL,26.89
2015-02-20,JNJ,74.34
2015-02-20,JPM,44.51
2015-02-20,META,79.35
2015-02-20,MSFT,37.65
2015-02-20,NVDA,0.54
2015-02-20,PG,62.87
2015-02-20,XOM,56.52
2015-02-23,AAPL,29.6
2015-02-23,AMZN,19.01
2015-02-23,GOOGL,26.55
2015-02-23,JNJ,74.28
2015-02-23,JPM,44.17
2015-02-23,META,78.29
2015-02-23,MSFT,37.9
2015-02-23,NVDA,0.53
2015-02-23,PG,63.25
2015-02-23,XOM,55.95
2015-02-24,AAPL,29.42
2015-02-24,AMZN,18.93
2015-02-24,GOOGL,26.73
2015-02-24,JNJ,74.66
2015-02-24,JPM,45.27
2015-02-24,META,77.91
2015-02-24,MSFT,37.85
2015-02-24,NVDA,0.54
2015-02-24,PG,63.33
2015-02-24,XOM,56.21
2015-02-25,AAPL,28.66
2015-02-25,AMZN,19.27
2015-02-25,GOOGL,27.16
2015-02-25,JNJ,75.04
2015-02-25,JPM,45.51
2015-02-25,META,79.01
2015-02-25,MSFT,37.76
2015-02-25,NVDA,0.53
2015-02-25,PG,63.3
2015-02-25,XOM,56.32
2015-02-26,AAPL,29.03
2015-02-26,AMZN,19.24
2015-02-26,GOOGL,27.75
2015-02-26,JNJ,76.22
2015-02-26,JPM,45.83
2015-02-26,META,79.85
2015-02-26,MSFT,37.82
2015-02-26,NVDA,0.53
2015-02-26,PG,63.09
2015-02-26,XOM,55.73
2015-02-27,AAPL,28.59
2015-02-27,AMZN,19.01
2015-02-27,GOOGL,27.92
2015-02-27,JNJ,76.0
2015-02-27,JPM,45.61
2015-02-27,META,78.42
2015-02-27,MSFT,37.64
2015-02-27,NVDA,0.53
2015-02-27,PG,63.06
2015-02-27,XOM,55.66
2015-03-02,AAPL,28.73
2015-03-02,AMZN,19.28
2015-03-02,GOOGL,28.54
2015-03-02,JNJ,76.53
2015-03-02,JPM,45.98
2015-03-02,META,79.2
2015-03-02,MSFT,37.67
2015-03-02,NVDA,0.54
2015-03-02,PG,63.27
2015-03-02,XOM,55.34
2015-03-03,AAPL,28.79
2015-03-03,AMZN,19.23
2015-03-03,GOOGL,28.72
2015-03-03,JNJ,75.88
2015-03-03,JPM,46.12
2015-03-03,META,79.05
2015-03-03,MSFT,37.15
2015-03-03,NVDA,0.53
2015-03-03,PG,63.08
2015-03-03,XOM,55.08
2015-03-04,AAPL,28.61
2015-03-04,AMZN,19.14
2015-03-04,GOOGL,28.7
2015-03-04,JNJ,75.37
2015-03-04,JPM,46.24
2015-03-04,META,80.34
2015-03-04,MSFT,36.97
2015-03-04,NVDA,0.54
2015-03-04,PG,62.48
2015-03-04,XOM,54.8
2015-03-05,AAPL,28.13
2015-03-05,AMZN,19.39
2015-03-05,GOOGL,28.85
2015-03-05,JNJ,76.01
2015-03-05,JPM,46.15
2015-03-05,META,80.65
2015-03-05,MSFT,37.01
2015-03-05,NVDA,0.55
2015-03-05,PG,62.69
2015-03-05,XOM,54.52
2015-03-06,AAPL,28.18
2015-03-06,AMZN,19.0
2015-03-06,GOOGL,28.43
2015-03-06,JNJ,74.22
2015-03-06,JPM,45.32
2015-03-06,META,79.45
2015-03-06,MSFT,36.36
2015-03-06,NVDA,0.54
2015-03-06,PG,61.23
2015-03-06,XOM,53.83
2015-03-09,AAPL,28.3
2015-03-09,AMZN,18.93
2015-03-09,GOOGL,28.49
2015-03-09,JNJ,74.63
2015-03-09,JPM,45.77
2015-03-09,META,78.89
2015-03-09,MSFT,36.79
2015-03-09,NVDA,0.54
2015-03-09,PG,61.55
2015-03-09,XOM,53.53
2015-03-10,AAPL,27.71
2015-03-10,AMZN,18.48
2015-03-10,GOOGL,27.78
2015-03-10,JNJ,73.79
2015-03-10,JPM,44.63
2015-03-10,META,77.01
2015-03-10,MSFT,36.08
2015-03-10,NVDA,0.55
2015-03-10,PG,60.4
2015-03-10,XOM,52.97
2015-03-11,AAPL,27.21
2015-03-11,AMZN,18.32
2015-03-11,GOOGL,27.58
2015-03-11,JNJ,72.9
2015-03-11,JPM,44.84
2015-03-11,META,77.03
2015-03-11,MSFT,36.04
2015-03-11,NVDA,0.55
2015-03-11,PG,60.29
2015-03-11,XOM,52.81
2015-03-12,AAPL,27.7
2015-03-12,AMZN,18.71
2015-03-12,GOOGL,27.85
2015-03-12,JNJ,74.02
2015-03-12,JPM,45.68
2015-03-12,META,78.38
